      Epoch    GPU_mem   box_loss   cls_loss   dfl_loss  Instances       Size         P         R     mAP50   mAP50-95   
    224/300       1.8G     0.5334     0.9371      1.731         14        608    0.7103    0.7538    0.7945    0.5992
    225/300       1.8G     0.5372     0.9453      1.729          4        608      0.72    0.7405     0.791     0.596
    226/300       1.8G     0.5369     0.9303      1.725         11        608    0.7169    0.7463     0.795    0.5992
    227/300       1.8G     0.5399     0.9578      1.731          2        608    0.7106    0.7456    0.7892    0.5944
    228/300       1.8G     0.5411     0.9485      1.742          6        608    0.7155    0.7421    0.7921    0.5966
    229/300       1.8G     0.5376      0.948      1.725          3        608    0.7055    0.7551    0.7942    0.5977
    230/300       1.8G     0.5371     0.9353      1.721          6        608    0.7161    0.7466    0.7943    0.5986
    231/300       1.8G      0.528     0.9319      1.723         10        608    0.7138    0.7519    0.7982    0.6022
    232/300       1.8G     0.5338     0.9262      1.728         15        608    0.7055    0.7623    0.7975    0.6013
    233/300       1.8G     0.5241     0.9305      1.702          7        608     0.709    0.7574    0.7964    0.5984
    234/300       1.8G     0.5253      0.918      1.709         12        608    0.7231     0.745    0.7992     0.603
    235/300       1.8G     0.5322     0.9383      1.729          5        608    0.7196    0.7493    0.7997    0.6038
    236/300       1.8G     0.5246     0.9195      1.716          4        608     0.725    0.7387     0.798    0.6022
    237/300       1.8G     0.5408     0.9367      1.739          6        608    0.7333    0.7325    0.7985    0.6037
    238/300       1.8G     0.5321     0.9274       1.71          8        608    0.7133    0.7495    0.7949    0.5987
    239/300       1.8G     0.5318      0.944      1.721          7        608    0.7066    0.7568    0.7941     0.599
    240/300       1.8G     0.5255     0.9295      1.708          8        608    0.7171    0.7529    0.7956    0.5994
    241/300       1.8G     0.5258     0.9246      1.715         23        608    0.7097    0.7595    0.7959    0.6009
    242/300       1.8G     0.5272      0.929      1.717         13        608    0.7179    0.7548    0.7982    0.6022
    243/300       1.8G      0.534     0.9322      1.715          7        608    0.7193    0.7525    0.7983    0.6044
    244/300       1.8G     0.5359     0.9384      1.718          7        608    0.7139    0.7607    0.8002    0.6058
    245/300       1.8G     0.5382     0.9293      1.719         23        608    0.7191     0.754    0.8011    0.6076
    246/300       1.8G     0.5328     0.9173      1.725         10        608    0.7156    0.7507    0.7983    0.6045
    247/300       1.8G      0.534      0.937      1.728          9        608    0.7158    0.7547    0.7966    0.6021
    248/300       1.8G     0.5315     0.9296      1.731         12        608    0.7193    0.7531    0.7983    0.6039
    249/300       1.8G     0.5337     0.9319      1.715         11        608    0.7117    0.7559    0.7955     0.601
    250/300       1.8G     0.5419     0.9579      1.721          5        608    0.7132    0.7521    0.7946    0.5988
    251/300       1.8G     0.5324     0.9296       1.72          9        608    0.7186    0.7491    0.7957    0.6012
    252/300       1.8G     0.5358     0.9406      1.718         17        608    0.7182     0.748    0.7945    0.5999
    253/300       1.8G     0.5311     0.9345      1.717         15        608    0.7233    0.7484    0.7982    0.6039
    254/300       1.8G     0.5361     0.9342      1.712          6        608     0.721    0.7484    0.7979    0.6038
